Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Pamela,Goldsmith-Jones,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Ralph,Goodale,Regina—Wascana,Saskatchewan,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David de Burgh,Graham,Laurentides—Labelle,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Raj,Grewal,Brampton East,Ontario,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Cheryl,Hardcastle,Windsor—Tecumseh,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Right Hon.,Stephen,Harper,Calgary Heritage,Alberta,Conservative,2015-10-19 12:00:00 AM,2016-08-26 11:59:59 PM
,T.J.,Harvey,Tobique—Mactaquac,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Richard,Hébert,Lac-Saint-Jean,Quebec,Liberal,2017-10-23 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Kent,Hehr,Calgary Centre,Alberta,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jim,Hillyer,Medicine Hat—Cardston—Warner,Alberta,Conservative,2015-10-19 12:00:00 AM,2016-03-23 11:59:59 PM
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gordie,Hogg,South Surrey—White Rock,British Columbia,Liberal,2017-12-11 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
